"HOUSEHOLD DATA 
ANNUAL AVERAGES 
17.  Employed persons by industry, sex, race, and occupation",,,,,,,,,,,,
[In thousands],,,,,,,,,,,,
,,,,,,,,,,,,
"Industry, sex, and race",2016,,,,,,,,,,,
,"Total
em-
ployed","Management,
professional,
and related
occupations",,"Service
occupations",,"Sales and office
occupations",,"Natural resources,
construction, and
maintenance occupations",,,"Production, trans-
portation, and
material moving
occupations",
,,"Manage-
ment,
business,
and
financial
opera-
tions
occupa-
tions","Profes-
sional
and
related
occupa-
tions","Protec-
tive
service
occupa-
tions","Service
occupa-
tions,
except
protec-
tive","Sales
and
related
occupa-
tions","Office
and
adminis-
trative
support
occupa-
tions","Farming,
fishing,
and
forestry
occupa-
tions","Construc-
tion
and
extrac-
tion
occupa-
tions","Instal-
lation,
mainte-
nance,
and
repair
occupa-
tions","Produc-
tion
occupa-
tions","Transpor-
tation
and
material
moving
occupa-
tions"
,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,
Agriculture and related,"2,460","1,083",53,14,95,15,88,945,11,38,36,84
"Mining, quarrying, and oil and gas extraction",792,157,134,2,8,13,49,0,231,52,62,84
Construction,"10,328","1,784",266,13,58,103,483,3,"6,657",559,151,252
Manufacturing,"15,408","2,673","2,187",29,233,639,"1,296",59,303,634,"6,098","1,258"
Durable goods,"9,704","1,731","1,594",16,92,324,789,6,240,411,"3,828",674
Nondurable goods,"5,704",942,593,14,142,315,507,53,63,223,"2,270",584
Wholesale and retail trade,"20,218","1,565","1,145",68,701,"10,209","3,229",43,89,750,543,"1,877"
Wholesale trade,"3,641",575,167,3,39,"1,337",569,33,21,130,101,666
Retail trade,"16,577",990,979,65,662,"8,871","2,660",10,68,621,441,"1,211"
Transportation and utilities,"8,012",857,358,28,127,95,"1,674",1,187,518,330,"3,838"
Information,"2,855",608,"1,077",6,76,337,401,0,8,266,33,42
Financial activities,"10,404","4,314",856,68,332,"2,238","2,179",1,52,205,42,117
Professional and business services,"18,325","4,645","5,939",579,"2,825",603,"2,308",18,167,298,349,591
Education and health services,"34,263","3,315","18,854",205,"7,365",121,"3,547",1,85,211,171,389
Leisure and hospitality,"14,193","1,890",953,206,"8,750","1,079",684,5,37,114,134,340
Other services,"7,320",744,960,20,"2,764",358,590,2,15,"1,103",441,324
"Other services, except private households","6,596",740,954,20,"2,067",357,587,2,14,"1,103",440,312
Private households,724,5,6,0,697,0,3,0,1,0,1,12
Public administration,"6,857","1,305","1,715","1,879",361,38,"1,164",18,88,131,69,89
,,,,,,,,,,,,
Men,,,,,,,,,,,,
Agriculture and related,"1,839",803,37,13,58,8,14,761,10,37,27,71
"Mining, quarrying, and oil and gas extraction",686,124,109,2,5,12,12,0,228,52,59,82
Construction,"9,389","1,539",218,9,48,83,80,3,"6,469",551,147,244
Manufacturing,"10,948","1,821","1,704",25,151,416,496,27,294,604,"4,389","1,020"
Durable goods,"7,286","1,219","1,313",14,63,238,292,6,235,389,"2,956",562
Nondurable goods,"3,662",602,391,11,88,179,203,22,59,216,"1,434",458
Wholesale and retail trade,"11,213",895,513,52,330,"5,218","1,441",24,83,723,363,"1,569"
Wholesale trade,"2,567",380,116,3,23,990,232,18,21,125,71,589
Retail trade,"8,645",515,397,48,307,"4,229","1,209",7,63,598,292,980
Transportation and utilities,"6,129",588,277,20,75,62,864,1,179,506,275,"3,281"
Information,"1,695",344,687,2,37,199,121,0,7,243,27,28
Financial activities,"4,967","2,248",480,37,235,"1,161",429,0,50,197,26,105
