"HOUSEHOLD DATA
ANNUAL AVERAGES
17.  Employed persons by industry, sex, race, and occupation",,,,,,,,,,,,
[In thousands],,,,,,,,,,,,
,,,,,,,,,,,,
"Industry, sex, and race",2019,,,,,,,,,,,
,Total employed,"Management,
professional,
and related
occupations",,"Service
occupations",,"Sales and office
occupations",,"Natural resources,
construction, and
maintenance occupations",,,"Production, transportation, and material moving occupations",
,,"Manage-
ment, business, and financial operations occupations",Professional and related occupations,Protective service occupations,"Service occupations, except protective","Sales
and
related
occupations","Office
and
adminis-
trative
support
occupations","Farming,
fishing,
and
forestry occupations","Construc-
tion
and
extraction
occupations","Instal-
lation,
mainte-
nance, and repair occupations","Production
occupations","Transpor-
tation
and
material
moving
occupations"
,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,
Agriculture and related,"2,425","1,008",42,15,98,17,81,993,12,26,38,93
"Mining, quarrying, and oil and gas extraction",750,155,127,2,5,11,63,0,212,53,40,81
Construction,"11,373","2,311",289,24,37,118,529,4,"7,044",589,160,267
Manufacturing,"15,741","2,851","2,304",30,232,608,"1,275",50,300,706,"6,150","1,235"
Durable goods,"9,970","1,757","1,665",17,106,341,765,4,241,443,"3,955",676
Nondurable goods,"5,771","1,094",639,12,126,267,510,46,59,263,"2,196",559
Wholesale and retail trade,"19,742","1,455","1,156",57,658,"9,759","3,096",58,98,718,566,"2,121"
Wholesale trade,"3,525",518,170,7,46,"1,309",525,40,23,128,113,646
Retail trade,"16,217",937,986,50,612,"8,450","2,572",19,74,590,452,"1,475"
Transportation and utilities,"8,991",933,410,42,142,136,"1,888",7,178,518,405,"4,332"
Information,"2,766",566,"1,123",9,76,267,375,0,16,254,31,46
Financial activities,"10,765","4,646","1,042",58,277,"2,318","2,048",0,57,186,38,95
Professional and business services,"19,606","5,224","6,639",606,"2,867",681,"2,273",12,152,269,302,582
Education and health services,"35,894","3,572","20,263",164,"7,336",110,"3,548",5,87,213,172,424
Leisure and hospitality,"14,643","2,121","1,016",206,"8,746","1,123",770,6,42,113,130,369
Other services,"7,617",739,977,14,"3,001",396,650,4,18,"1,061",459,298
"Other services, except private households","6,796",733,971,14,"2,209",395,646,4,14,"1,061",457,291
Private households,821,6,5,0,792,1,4,0,3,0,2,7
Public administration,"7,225","1,397","1,849","1,902",375,37,"1,194",16,109,156,73,118
,,,,,,,,,,,,
Men,,,,,,,,,,,,
Agriculture and related,"1,790",745,28,13,62,8,14,774,12,26,32,76
"Mining, quarrying, and oil and gas extraction",632,115,104,2,2,8,26,0,205,52,39,79
Construction,"10,205","1,948",235,17,31,83,82,4,"6,822",572,152,259
Manufacturing,"11,111","1,872","1,781",25,159,397,510,22,283,673,"4,423",966
Durable goods,"7,465","1,207","1,361",16,81,246,312,4,228,421,"3,029",560
Nondurable goods,"3,646",666,419,10,78,151,197,18,55,253,"1,394",406
Wholesale and retail trade,"11,014",837,516,37,303,"5,038","1,377",29,92,695,361,"1,729"
Wholesale trade,"2,517",346,110,5,30,"1,004",221,18,23,122,89,550
Retail trade,"8,497",491,406,32,273,"4,035","1,156",11,69,573,272,"1,179"
Transportation and utilities,"6,824",631,316,35,89,91,"1,003",5,174,511,335,"3,633"
Information,"1,645",310,712,6,45,155,106,0,15,239,20,37
Financial activities,"5,106","2,416",594,34,193,"1,117",428,0,50,172,19,82
Professional and business services,"11,502","2,945","4,196",472,"1,788",380,603,10,145,249,225,488
Education and health services,"9,052","1,161","5,383",112,"1,357",31,419,3,77,198,64,247
Leisure and hospitality,"7,145","1,116",566,143,"4,233",352,230,4,37,104,68,292
Other services,"3,514",332,545,12,596,299,104,2,18,"1,030",322,254
"Other services, except private households","3,440",331,544,12,535,298,103,2,14,"1,030",322,247
Private households,74,1,1,0,61,1,1,0,3,0,0,6
Public administration,"3,920",645,905,"1,529",150,18,267,9,103,149,54,92
,,,,,,,,,,,,
Women,,,,,,,,,,,,
Agriculture and related,635,263,14,3,36,9,67,219,0,0,6,18
"Mining, quarrying, and oil and gas extraction",118,41,23,0,3,3,36,0,8,1,1,2
Construction,"1,168",363,55,6,6,35,446,0,222,17,8,9
Manufacturing,"4,630",979,523,4,73,211,765,28,17,33,"1,728",269
Durable goods,"2,505",550,304,1,25,95,452,0,13,23,926,116
Nondurable goods,"2,125",429,220,3,48,116,313,28,4,10,802,153
Wholesale and retail trade,"8,728",619,640,20,355,"4,720","1,719",30,6,23,204,393
Wholesale trade,"1,008",172,60,2,16,305,304,21,0,6,24,96
Retail trade,"7,721",447,580,18,339,"4,415","1,416",8,5,17,180,296
Transportation and utilities,"2,166",302,94,6,53,44,885,2,4,7,70,699
Information,"1,120",257,411,3,31,112,269,0,1,15,11,10
Financial activities,"5,660","2,230",448,24,84,"1,201","1,619",0,7,15,19,13
Professional and business services,"8,104","2,279","2,443",134,"1,079",301,"1,670",2,6,20,77,94
Education and health services,"26,842","2,411","14,880",52,"5,979",79,"3,129",2,9,15,108,177
Leisure and hospitality,"7,499","1,006",450,64,"4,513",771,540,2,5,9,62,77
Other services,"4,103",408,432,2,"2,405",97,546,1,0,31,137,45
"Other services, except private households","3,356",403,428,2,"1,673",97,543,1,0,31,135,44
Private households,747,5,5,0,731,0,4,0,0,0,2,0
Public administration,"3,304",752,944,373,225,19,927,6,5,6,19,26
,,,,,,,,,,,,
White,,,,,,,,,,,,
Agriculture and related,"2,254",975,38,14,86,15,75,904,10,24,34,79
"Mining, quarrying, and oil and gas extraction",651,140,94,2,5,11,53,0,194,51,34,66
Construction,"10,018","2,108",246,19,29,111,476,4,"6,162",501,142,219
Manufacturing,"12,521","2,435","1,757",20,184,535,"1,047",40,267,607,"4,696",932
