"HOUSEHOLD DATA
ANNUAL AVERAGES
17.  Employed persons by industry, sex, race, and occupation",,,,,,,,,,,,
[In thousands],,,,,,,,,,,,
,,,,,,,,,,,,
"Industry, sex, and race",2020,,,,,,,,,,,
,Total employed,"Management, professional, and related occupations",,"Service
occupations",,"Sales and office
occupations",,"Natural resources,
construction, and
maintenance occupations",,,"Production, transportation, and material moving occupations",
,,"Management, business, and financial operations occupations",Professional and related occupations,Protective service occupations,"Service occupations, except protective","Sales
and
related
occupations","Office and
adminis-
trative
support
occupations","Farming,
fishing,
and
forestry occupations","Construc-
tion
and
extraction
occupations","Instal-
lation,
mainte-
nance, and repair occupations","Production
occupations","Transpor-
tation
and
material
moving
occupations"
,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,
Agriculture and related,"2,349",961,58,13,94,12,96,931,10,33,42,99
"Mining, quarrying, and oil and gas extraction",684,146,104,1,6,11,38,0,208,39,57,74
Construction,"10,786","2,210",337,14,46,145,545,6,"6,404",618,153,307
Manufacturing,"14,550","2,845","2,247",34,176,631,"1,148",17,301,653,"5,334","1,162"
Durable goods,"9,129","1,767","1,620",17,79,344,697,7,233,414,"3,322",629
Nondurable goods,"5,421","1,078",627,17,97,288,451,11,68,239,"2,012",533
Wholesale and retail trade,"18,989","1,607","1,214",68,611,"8,769","1,971",45,129,656,585,"3,333"
Wholesale trade,"3,380",519,172,10,39,"1,165",445,28,24,144,130,704
Retail trade,"15,609","1,088","1,041",58,573,"7,603","1,526",17,105,513,456,"2,628"
Transportation and utilities,"8,552","1,012",402,47,100,150,"1,843",3,210,515,352,"3,917"
Information,"2,594",651,"1,095",6,38,200,329,0,12,219,23,23
Financial activities,"10,646","4,729","1,081",56,222,"2,283","1,932",1,48,164,45,83
Professional and business services,"18,816","5,064","6,601",540,"2,757",583,"2,006",12,153,286,269,545
Education and health services,"34,105","3,693","19,540",179,"6,495",138,"3,258",5,83,197,164,352
Leisure and hospitality,"11,480","2,009",795,149,"6,482",860,604,8,35,92,106,340
Other services,"6,742",763,994,19,"2,406",348,540,3,24,987,380,280
"Other services, except private households","6,088",755,987,19,"1,795",348,531,3,24,986,370,270
Private households,654,9,7,0,611,0,8,0,0,0,10,10
Public administration,"7,501","1,451","2,035","1,897",395,39,"1,248",13,92,143,77,111
,,,,,,,,,,,,
Men,,,,,,,,,,,,
Agriculture and related,"1,699",707,36,11,52,6,16,714,10,31,36,80
"Mining, quarrying, and oil and gas extraction",585,104,90,1,4,9,11,0,200,38,56,72
Construction,"9,613","1,894",256,10,32,112,101,6,"6,157",604,147,294
Manufacturing,"10,255","1,831","1,722",26,111,402,466,15,287,607,"3,857",932
Durable goods,"6,814","1,197","1,305",12,50,257,290,7,221,383,"2,562",530
Nondurable goods,"3,441",634,417,13,61,145,176,8,66,224,"1,295",402
Wholesale and retail trade,"10,634",940,559,49,265,"4,491",680,27,124,640,373,"2,488"
Wholesale trade,"2,358",340,106,7,28,855,159,16,24,140,86,597
Retail trade,"8,276",600,453,42,237,"3,636",521,10,100,500,287,"1,891"
Transportation and utilities,"6,492",708,303,34,62,81,"1,023",2,205,502,301,"3,271"
Information,"1,544",361,690,3,22,118,114,0,12,194,15,16
Financial activities,"5,121","2,454",621,36,146,"1,140",430,1,46,151,25,72
Professional and business services,"11,031","2,788","4,224",394,"1,728",329,509,10,142,274,181,451
Education and health services,"8,672","1,187","5,243",120,"1,236",33,340,4,75,181,65,187
Leisure and hospitality,"5,694","1,053",442,104,"3,209",268,166,7,34,87,54,271
Other services,"3,198",321,553,16,476,260,91,0,22,964,266,230
"Other services, except private households","3,125",318,549,16,424,260,91,0,22,963,261,221
Private households,73,3,4,0,52,0,0,0,0,0,5,8
Public administration,"4,020",681,968,"1,506",166,13,297,8,87,140,67,87
,,,,,,,,,,,,
Women,,,,,,,,,,,,
