"HOUSEHOLD DATA
ANNUAL AVERAGES
17. Employed persons by industry, sex, race, and occupation",,,,,,,,,,,,
[In thousands],,,,,,,,,,,,
,,,,,,,,,,,,
"Industry, sex, and race",2018,,,,,,,,,,,
,"Total
em-
ployed","Management,
professional,
and related
occupations",,"Service
occupations",,"Sales and office
occupations",,"Natural resources,
construction, and
maintenance occupations",,,"Production, trans-
portation, and
material moving
occupations",
,,"Manage-
ment,
business,
and
financial
opera-
tions
occupa-
tions","Profes-
sional
and
related
occupa-
tions","Protec-
tive
service
occupa-
tions","Service
occupa-
tions,
except
protec-
tive","Sales
and
related
occupa-
tions","Office
and
adminis-
trative
support
occupa-
tions","Farming,
fishing,
and
forestry
occupa-
tions","Construc-
tion
and
extrac-
tion
occupa-
tions","Instal-
lation,
mainte-
nance,
and
repair
occupa-
tions","Produc-
tion
occupa-
tions","Transpor-
tation
and
material
moving
occupa-
tions"
,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,
Agriculture and related,"2,425","1,032",41,14,84,15,83,966,15,36,41,98
"Mining, quarrying, and
oil and gas extraction",784,144,109,4,10,11,51,0,246,55,51,102
Construction,"11,181","2,149",302,18,49,124,543,3,"6,992",585,185,232
Manufacturing,"15,560","2,630","2,297",26,238,602,"1,243",56,313,710,"6,103","1,344"
Durable goods,"9,831","1,661","1,649",12,93,313,783,4,246,441,"3,872",757
Nondurable goods,"5,729",969,647,14,145,289,460,52,67,269,"2,231",587
Wholesale and retail trade,"20,270","1,456","1,210",61,671,"10,063","3,235",46,100,703,606,"2,120"
Wholesale trade,"3,671",516,179,6,51,"1,297",557,33,27,126,133,747
Retail trade,"16,599",940,"1,031",55,620,"8,766","2,678",13,74,577,472,"1,372"
Transportation and utilities,"8,551",912,418,30,164,130,"1,729",1,186,560,377,"4,044"
Information,"2,919",611,"1,159",6,67,319,379,0,14,291,33,39
Financial activities,"10,649","4,498",967,54,309,"2,381","2,060",0,62,161,43,115
Professional and business services,"18,950","4,777","6,510",622,"2,909",648,"2,149",14,161,282,303,575
Education and health services,"35,043","3,381","19,706",183,"7,239",109,"3,525",4,77,216,181,421
Leisure and hospitality,"14,268","2,096",983,204,"8,530","1,006",783,6,45,107,128,380
Other services,"7,742",713,996,29,"3,000",363,638,3,16,"1,153",490,343
"Other services, except private households","6,965",711,989,29,"2,246",362,634,3,15,"1,152",489,336
Private households,777,3,7,0,754,0,4,0,0,0,1,8
Public administration,"7,419","1,451","1,888","1,954",383,35,"1,238",23,111,153,79,105
,,,,,,,,,,,,
Men,,,,,,,,,,,,
Agriculture and related,"1,797",753,26,11,52,12,14,759,14,36,33,86
"Mining, quarrying, and
oil and gas extraction",676,111,85,4,8,10,17,0,240,54,47,99
Construction,"10,079","1,859",240,13,36,98,79,3,"6,770",575,182,226
Manufacturing,"11,022","1,752","1,783",20,151,380,516,29,301,685,"4,336","1,071"
Durable goods,"7,368","1,148","1,347",9,64,236,318,4,235,424,"2,958",626
Nondurable goods,"3,654",604,436,10,87,144,198,25,66,261,"1,378",445
Wholesale and retail trade,"11,202",838,544,41,286,"5,127","1,444",24,97,681,414,"1,706"
Wholesale trade,"2,623",339,117,5,29,999,232,18,27,123,102,633
Retail trade,"8,579",500,426,36,257,"4,128","1,212",6,70,558,313,"1,074"
Transportation and utilities,"6,468",627,311,23,104,81,883,1,181,540,321,"3,396"
Information,"1,801",373,753,5,39,178,113,0,14,271,23,32
Financial activities,"5,051","2,272",576,36,224,"1,185",428,0,56,152,23,99
Professional and business services,"11,079","2,668","4,147",466,"1,832",348,531,10,149,268,198,462
Education and health services,"8,985","1,136","5,318",131,"1,401",27,373,2,73,195,82,247
Leisure and hospitality,"6,920","1,085",569,144,"4,077",272,255,4,39,105,65,305
Other services,"3,595",304,565,17,573,266,75,2,16,"1,116",356,306
"Other services, except private households","3,542",304,564,17,531,266,73,2,15,"1,115",356,299
Private households,53,0,1,0,42,0,2,0,0,0,0,6
Public administration,"4,025",686,907,"1,574",151,16,281,15,104,147,59,85
,,,,,,,,,,,,
Women,,,,,,,,,,,,
Agriculture and related,628,278,15,2,32,3,69,207,1,0,8,12
"Mining, quarrying, and
oil and gas extraction",108,33,24,0,2,1,35,0,6,1,3,3
Construction,"1,102",290,62,5,13,26,464,0,222,10,3,7
Manufacturing,"4,537",878,514,6,87,222,726,27,12,25,"1,767",273
Durable goods,"2,463",513,302,2,29,77,465,1,10,17,915,131
Nondurable goods,"2,074",365,211,4,58,145,262,26,1,8,853,141
Wholesale and retail trade,"9,068",618,666,20,385,"4,936","1,791",22,3,22,191,413
Wholesale trade,"1,048",178,61,0,22,298,325,15,0,3,31,115
Retail trade,"8,020",440,605,19,363,"4,638","1,466",7,3,19,160,298
Transportation and utilities,"2,084",284,107,7,60,49,845,0,5,20,57,648
Information,"1,118",238,406,1,28,141,267,0,0,20,10,7
Financial activities,"5,598","2,226",391,18,85,"1,197","1,632",0,6,9,20,15
Professional and business services,"7,872","2,110","2,362",156,"1,077",300,"1,619",3,12,14,105,114
Education and health services,"26,058","2,245","14,388",53,"5,838",82,"3,152",2,5,21,99,174
Leisure and hospitality,"7,347","1,011",414,60,"4,453",734,527,2,6,2,63,75
Other services,"4,148",409,431,12,"2,427",97,563,1,0,37,134,38
"Other services, except private households","3,423",407,425,12,"1,715",97,561,1,0,37,133,36
Private households,725,2,6,0,712,0,2,0,0,0,1,1
Public administration,"3,394",765,981,380,232,20,957,8,7,6,20,20
,,,,,,,,,,,,
White,,,,,,,,,,,,
Agriculture and related,"2,251",989,36,13,79,15,79,883,12,30,32,83
"Mining, quarrying, and
oil and gas extraction",684,126,94,3,9,10,44,0,222,47,43,85
Construction,"9,888","1,977",262,12,45,118,490,2,"6,142",490,155,195
Manufacturing,"12,365","2,240","1,772",21,181,538,"1,020",46,265,614,"4,656","1,012"
Durable goods,"7,895","1,427","1,273",11,76,283,650,4,207,372,"3,001",591
Nondurable goods,"4,471",813,499,10,106,255,370,42,58,242,"1,655",421
Wholesale and retail trade,"15,948","1,211",909,46,491,"8,007","2,473",40,87,600,468,"1,615"
Wholesale trade,"3,054",438,137,4,39,"1,150",444,29,25,109,100,579
Retail trade,"12,894",774,772,42,452,"6,857","2,029",11,62,492,367,"1,035"
Transportation and utilities,"6,128",737,321,22,92,100,"1,197",1,163,468,295,"2,732"
Information,"2,285",489,916,6,51,249,272,0,13,230,27,33
Financial activities,"8,490","3,672",653,28,238,"2,005","1,597",0,53,129,31,84
Professional and business services,"14,806","3,874","4,997",355,"2,353",548,"1,657",10,128,235,239,411
Education and health services,"26,461","2,691","15,304",124,"4,798",87,"2,775",4,62,166,132,318
Leisure and hospitality,"10,598","1,617",800,153,"6,282",675,576,6,41,83,79,286
Other services,"6,000",582,793,23,"2,126",298,539,3,15,969,388,264
"Other services, except private households","5,353",580,790,23,"1,496",298,536,3,15,969,387,257
Private households,647,2,3,0,629,0,4,0,0,0,1,7
Public administration,"5,556","1,104","1,390","1,545",246,27,895,13,91,119,59,68
,,,,,,,,,,,,
Black or African American,,,,,,,,,,,,
Agriculture and related,62,10,1,0,3,0,1,25,2,1,8,11
"Mining, quarrying, and
oil and gas extraction",50,11,3,0,1,0,6,0,12,3,6,8
Construction,689,65,22,5,2,3,25,0,473,52,14,28
Manufacturing,"1,626",135,139,5,36,24,119,5,27,57,848,231
Durable goods,913,66,83,1,11,10,69,0,22,40,495,116
Nondurable goods,712,69,56,4,25,14,50,5,5,17,352,115
Wholesale and retail trade,"2,412",107,107,9,114,"1,140",458,2,7,46,78,343
Wholesale trade,329,28,15,0,11,60,64,2,2,6,22,119
Retail trade,"2,084",79,92,9,103,"1,080",395,1,5,40,57,223
Transportation and utilities,"1,644",102,48,7,48,22,382,0,19,59,47,910
Information,340,48,109,0,13,44,74,0,1,41,5,4
Financial activities,"1,088",384,94,19,54,191,288,0,8,20,7,23
Professional and business services,"1,877",319,395,210,352,60,319,2,19,31,37,133
Education and health services,"5,306",440,"2,396",41,"1,783",13,478,0,9,37,30,79
Leisure and hospitality,"1,906",207,99,29,"1,169",201,102,0,2,14,30,54
Other services,838,65,124,5,362,36,56,0,0,94,46,53
"Other services, except private households",765,64,120,5,292,36,56,0,0,94,46,53
Private households,73,0,3,0,69,0,0,0,0,0,0,0
Public administration,"1,252",235,316,316,70,4,235,8,11,19,11,27
,,,,,,,,,,,,
Asian,,,,,,,,,,,,
Agriculture and related,39,14,2,0,0,0,2,18,1,1,1,1
"Mining, quarrying, and
oil and gas extraction",22,5,12,0,0,0,0,0,1,3,0,2
Construction,219,53,16,0,1,2,15,0,106,17,7,1
Manufacturing,"1,070",198,323,0,15,25,54,3,7,24,377,44
Durable goods,733,141,249,0,5,12,29,0,5,21,246,24
Nondurable goods,337,57,74,0,10,12,25,3,1,3,131,20
Wholesale and retail trade,"1,127",105,164,4,35,535,143,2,2,24,30,82
Wholesale trade,190,40,25,1,1,63,26,2,0,4,3,26
Retail trade,937,66,139,3,35,472,117,0,2,20,27,56
Transportation and utilities,469,51,40,0,15,4,89,0,2,11,12,246
Information,213,56,109,0,1,17,16,0,0,13,2,0
Financial activities,794,335,193,3,8,142,100,0,0,6,4,3
Professional and business services,"1,697",484,956,21,60,26,100,2,7,10,15,16
Education and health services,"2,231",164,"1,476",6,391,4,160,0,3,8,9,11
Leisure and hospitality,973,190,45,8,576,69,51,0,1,1,8,25
Other services,649,48,56,1,417,18,25,0,0,41,32,12
"Other services, except private households",626,48,55,1,396,18,25,0,0,41,32,11
Private households,23,0,1,0,22,0,0,0,0,0,0,1
Public administration,329,69,122,34,30,1,53,1,5,4,4,5
,,,,,,,,,,,,
NOTE: Estimates for the above race groups will not sum to totals because data are not presented for all races. Updated population controls are introduced annually with the release of January data.,,,,,,,,,,,,
